dataset,rows,cols,features,method,mse,time (s)
synth,250,150,1, mu,2.985694304,0.022
synth,250,150,1, sdg,7.867377103,0.036
synth,250,150,1, als,2.999610623,0.026
synth,250,150,3, mu,2.963461528,0.022
synth,250,150,3, sdg,5.990224309,0.016
synth,250,150,3, als,2.887640726,0.016
synth,250,150,10, mu,2.637347012,0.076
synth,250,150,10, sdg,3.550945384,0.019
synth,250,150,10, als,2.358704356,0.018
synth,250,150,30, mu,1.946420525,0.271
synth,250,150,30, sdg,17.10392646,0.091
synth,250,150,30, als,1.817613208,0.071
synth,2500,1500,1, mu,3.058997328,1.128
synth,2500,1500,1, sdg,3.40387059,0.869
synth,2500,1500,1, als,3.062484647,0.961
synth,2500,1500,3, mu,3.106441676,2.609
synth,2500,1500,3, sdg,4.563554903,0.807
synth,2500,1500,3, als,2.996233525,1.271
synth,2500,1500,10, mu,3.100319978,1.639
synth,2500,1500,10, sdg,3.171975628,3.024
synth,2500,1500,10, als,2.919907426,0.972
synth,2500,1500,30, mu,3.067233277,3.044
synth,2500,1500,30, sdg,2.96968145,31.881
synth,2500,1500,30, als,2.655550757,2.322
kos doc words,62475,37485,1, mu,2.30999641,4.896
kos doc words,62475,37485,1, sdg,2.236007391,0.066
kos doc words,62475,37485,1, als,2.311536317,4.803
kos doc words,62475,37485,3, mu,2.108722028,26.23
kos doc words,62475,37485,3, sdg,1.54082313,0.1
kos doc words,62475,37485,3, als,2.095378764,7.181
kos doc words,62475,37485,10, mu,1.936246605,41.878
kos doc words,62475,37485,10, sdg,2.687067865,0.243
kos doc words,62475,37485,10, als,1.840018587,8.294
kos doc words,62475,37485,30, mu,1.741338614,101.069
kos doc words,62475,37485,30, sdg,25.66528221,1.938
kos doc words,62475,37485,30, als,1.584329675,19.38
netflix reviews,,,,,,
