1-1=80.2626
1-2=80.2626
1-3=80.2626
1-4=80.2626
1-5=80.2626
1-6=80.2626
1-7=80.2626
1-8=80.2626
1-9=80.2626
1-10=80.2626
1-11=80.2626
1-12=82.2544
2-1,2=80.2626
2-1,3=80.2626
2-1,4=80.2626
2-1,5=80.2626
2-1,6=80.2626
2-1,7=80.2626
2-1,8=80.2626
2-1,9=80.3531
2-1,10=80.2626
2-1,11=80.2626
2-1,12=82.2091
2-2,3=80.3531
2-2,4=80.2626
2-2,5=80.2626
2-2,6=80.2626
2-2,7=80.2626
2-2,8=80.2626
2-2,9=80.4889
2-2,10=80.2626
2-2,11=80.7605
2-2,12=82.2544
2-3,4=80.2626
2-3,5=80.3078
2-3,6=80.3984
2-3,7=80.2626
2-3,8=80.3531
2-3,9=80.9416
2-3,10=80.2626
2-3,11=80.172
2-3,12=81.8923
2-4,5=80.4889
2-4,6=80.3078
2-4,7=80.2626
2-4,8=80.2626
2-4,9=80.2626
2-4,10=80.0815
2-4,11=80.2626
2-4,12=82.2544
2-5,6=79.7193
2-5,7=80.2626
2-5,8=80.3078
2-5,9=81.2132
2-5,10=80.4889
2-5,11=80.172
2-5,12=80.6247
2-6,7=80.2626
2-6,8=80.1268
2-6,9=80.3531
2-6,10=80.4436
2-6,11=80.2626
2-6,12=82.345
2-7,8=80.2626
2-7,9=80.2626
2-7,10=80.2626
2-7,11=80.2626
2-7,12=82.7524
2-8,9=80.0815
2-8,10=80.3078
2-8,11=80.2626
2-8,12=81.9375
2-9,10=81.0321
2-9,11=80.5794
2-9,12=82.4355
2-10,11=80.3984
2-10,12=82.2997
2-11,12=82.6166
3-1,2,3=80.3531
3-1,2,4=80.2626
3-1,2,5=80.4436
3-1,2,6=80.2626
3-1,2,7=80.2626
3-1,2,8=80.2626
3-1,2,9=80.5342
3-1,2,10=80.5342
3-1,2,11=80.3531
3-1,2,12=82.3902
3-1,3,4=80.2626
3-1,3,5=80.3078
3-1,3,6=80.3984
3-1,3,7=80.2626
3-1,3,8=80.3531
3-1,3,9=81.1679
3-1,3,10=80.2626
3-1,3,11=80.2626
3-1,3,12=81.847
3-1,4,5=80.2626
3-1,4,6=80.3078
3-1,4,7=80.2626
3-1,4,8=80.2626
3-1,4,9=80.4436
3-1,4,10=80.2626
3-1,4,11=80.2626
3-1,4,12=82.2997
3-1,5,6=79.7193
3-1,5,7=80.7153
3-1,5,8=80.4889
3-1,5,9=81.4396
3-1,5,10=80.2626
3-1,5,11=80.2173
3-1,5,12=81.9828
3-1,6,7=80.2626
3-1,6,8=80.1268
3-1,6,9=80.3078
3-1,6,10=80.2626
3-1,6,11=80.2626
3-1,6,12=82.345
3-1,7,8=80.2626
3-1,7,9=80.3984
3-1,7,10=80.3984
3-1,7,11=80.2626
3-1,7,12=82.7071
3-1,8,9=80.0815
3-1,8,10=80.2626
3-1,8,11=80.2626
3-1,8,12=81.9375
3-1,9,10=80.9869
3-1,9,11=80.4436
3-1,9,12=82.2997
3-1,10,11=80.3531
3-1,10,12=82.2544
3-1,11,12=82.3902
3-2,3,4=80.8058
3-2,3,5=80.5342
3-2,3,6=80.3984
3-2,3,7=80.5342
3-2,3,8=80.6247
3-2,3,9=80.5342
3-2,3,10=80.6247
3-2,3,11=80.172
3-2,3,12=81.9375
